original_medium,standardized_medium
oil on canvas,Painting
Oil on Canvas,Painting
acrylic on canvas,Painting
Oil on canvas,Painting
woodcut,Prints
Fiber art,Sculpture
Collage,Work on Paper
Acrylic,Painting
"acrylic, modeling paste, and pumice on canvas",Painting
flashe paint on birch panel,Painting
Acrylic on canvas,Painting
acrylic and urethane on canvas,Painting
graphite on paper,Drawing
Mixed Media,Work on Paper
archival digital photograph,Photography
Acrylic on Linen,Painting
Archival Pigment Print on Canvas,Photography
"Porcelain, luster glazes",Sculpture
Archival pigment photographic print,Photography
oil on linen,Painting
"Acrylic, joint compound, and plaster on 1/4"" Sheetrock",Sculpture
acrylic and oil on canvas,Painting
"paper sculpture (paper, glue, foam board)",Sculpture
oil on cradled wood panel,Painting
Acrylic and archival inkjet on canvas mounted to panel,Painting
"oil pastel, acrylic and tempera on joined paper",Work on Paper
Acrylic on Canvas,Painting
"gouache, oil marker, acrylic medium on wood panel",Painting
"Mixed Media: Maple wood, paper, hand-stamped ink text",Installation
mixed media painting,Painting
Unique Gelatin Silver Print,Photography
watercolor crayon and sumi ink on paper,Drawing
Digital collage,Digital Art
"Gold leaf, image transfer on canvas",Painting
Acrylic on linen,Painting
acrylic on translucent synthetic paper,Painting
"mixed media (acrylic, oil-based pens, Japanese kozo paper)",Painting
"Oil, resin, acrylic on wood",Painting
watercolor and ink on Hanji paper on panel,Painting
"Batik on Eggshell, Pysanky",Design
Photo-transfer collage on mylar,Work on Paper
Fiber and paint,Sculpture
Oil on aluminum,Painting
Photo-transfer collage on linen,Work on Paper
Silkscreen on Paper,Prints
mixed media on paper,Work on Paper
Multichannel video installation,Film/Video
acrylic and acrylic spray on raw canvas,Painting
monotype,Prints
Chlorophyll Print,Photography
"gouache, oil marker on paper",Drawing
"Alcohol ink, graphite, oil paint, archival printing, charcoal, and candle smoke, mounted on shaped aluminum dibond",Painting
"Oil, Graphite, Cold Wax on cradled wood panel",Painting
"acrylic, pastel, aluminum enamel, joint compound on pieced paper on panel",Painting
Acrylic and archival inkjet on canvas,Painting
virtual reality animation,Digital Art
"photography, audio, text, community collaboration",Installation
"spray paint, acrylic and oil on canvas",Painting
Immersive video installation,Film/Video
"glass , steel , car parts",Installation
glazed ceramic,Sculpture
Video Projection/Sound Loop,Film/Video
PLA thermoplastic,Digital Art
Repurposed Steel and Automotive Paint,Sculpture
NYTimes newspaper and house paint,Work on Paper
"Pony beads, buttons, wire and vintage birthing/milking stool",Installation
"photography, text",Photography
Acrylic Paintings on Linen,Painting
"ceramic, glaze, lustre, bleached coral",Sculpture
testing,Digital Art
"Burned paper, rusted paper, rusted metal",Work on Paper
"Drywall shims, ink, brass tacks, acrylic",Installation
Video,Film/Video
Quantum Waves,Digital Art
"Lithograph on silk, perfume, tears",Prints
Byzantine mosaic on station ceiling,Installation
"Self adhesive vinyl, synthetic polymer on board, HDMI display, looped MP4, sound, AR, NFT",NFT
